;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;NOM_COMMUNE;ADRESSE;CODE_GRAND_SECTEUR;CONSO;PDL;latitude;longitude;id;score
406310;Enedis;2019;E;770540000;LA BROSSE-MONTCEAUX;33 RUE DE LA VALLEE;T;8,911819e+01;1;48.347839;3.026168;77054_0240_00033;0.8600027272727272
408716;Enedis;2019;E;771330000;COURCELLES-EN-BASSÉE;8 RUE DE LA PEPINIERE;T;1,551800e+01;1;48.416013;3.072302;77133_0221_00008;0.8465909090909091
409219;Enedis;2019;E;771580000;DIANT;1 RUE AUX MOINES;A;1,885288e+01;1;48.270294;3.004619;77158_0200_00001;0.845300909090909
409378;Enedis;2019;E;771720000;ESMANS;12 RUE DE MONTEREAU;A;8,015374e+01;1;48.350785;2.975275;77172_0300_00012;0.856750909090909
409866;Enedis;2019;E;771940000;FORGES;2 RUE DE SALINS;T;7,149455e+01;1;48.418483;2.963054;77194_0160_00002;0.8480772727272726
409867;RTE;2019;E;771940000;FORGES;NON RENSEIGNE;T;7,819715e+04;1;48.418483;2.963054;77194_0160_00002;0.8480772727272726
409883;Enedis;2019;E;772100000;LA GRANDE-PAROISSE;5 RUE DES CROCS;I;8,003555e+01;1;48.384548;2.9251;77210_0117_00005;0.8591990909090909
409884;Enedis;2019;E;772100000;LA GRANDE-PAROISSE;21 RUE DE LA GARENNE;R;5,555390e+01;11;48.387785;2.905994;77210_0200_00021;0.8643581818181818
409885;Enedis;2019;E;772100000;LA GRANDE-PAROISSE;19 GRANDE RUE;T;1,041794e+02;1;48.385911;2.900171;77210_0202_00019;0.8692418181818182
409886;Enedis;2019;E;772100000;LA GRANDE-PAROISSE;2 RUE DES CROCS;T;6,280400e+01;1;48.385799;2.924544;77210_0117_00002;0.8591990909090909
410422;Enedis;2019;E;772450000;LAVAL-EN-BRIE;38 RUE DE LA FONTAINE DE L ERABLE;I;1,314940e+02;1;48.424351;3.004977;77245_0260_00038;0.8552054545454545
411010;Enedis;2019;E;772790000;MAROLLES-SUR-SEINE;20 PASSAGE DU CHARRON;T;2,240990e+01;1;48.385441;3.035553;77279_0165_00020;0.8606827272727272
411011;Enedis;2019;E;772790000;MAROLLES-SUR-SEINE;22 RUE DE LA CROIX SAINT JACQUES;T;1,029238e+02;1;48.381421;3.028472;77279_0143_00022;0.8579645454545455
411012;Enedis;2019;E;772790000;MAROLLES-SUR-SEINE;4 RUE DES TAUPES;T;1,232181e+02;1;48.379571;3.022132;77279_ict8gm_00004;0.8543809090909091
