;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;NOM_COMMUNE;ADRESSE;CODE_GRAND_SECTEUR;CONSO;PDL
406310;Enedis;2019;E;770540000;LA BROSSE-MONTCEAUX;33 RUE DE LA VALLEE;T;8,911819e+01;1
408716;Enedis;2019;E;771330000;COURCELLES-EN-BASSÉE;8 RUE DE LA PEPINIERE;T;1,551800e+01;1
409219;Enedis;2019;E;771580000;DIANT;1 RUE AUX MOINES;A;1,885288e+01;1
409378;Enedis;2019;E;771720000;ESMANS;12 RUE DE MONTEREAU;A;8,015374e+01;1
409866;Enedis;2019;E;771940000;FORGES;2 RUE DE SALINS;T;7,149455e+01;1
409867;RTE;2019;E;771940000;FORGES;NON RENSEIGNE;T;7,819715e+04;1
409883;Enedis;2019;E;772100000;LA GRANDE-PAROISSE;5 RUE DES CROCS;I;8,003555e+01;1
409884;Enedis;2019;E;772100000;LA GRANDE-PAROISSE;21 RUE DE LA GARENNE;R;5,555390e+01;11
409885;Enedis;2019;E;772100000;LA GRANDE-PAROISSE;19 GRANDE RUE;T;1,041794e+02;1
409886;Enedis;2019;E;772100000;LA GRANDE-PAROISSE;2 RUE DES CROCS;T;6,280400e+01;1
410422;Enedis;2019;E;772450000;LAVAL-EN-BRIE;38 RUE DE LA FONTAINE DE L ERABLE;I;1,314940e+02;1
411010;Enedis;2019;E;772790000;MAROLLES-SUR-SEINE;20 PASSAGE DU CHARRON;T;2,240990e+01;1
411011;Enedis;2019;E;772790000;MAROLLES-SUR-SEINE;22 RUE DE LA CROIX SAINT JACQUES;T;1,029238e+02;1
411012;Enedis;2019;E;772790000;MAROLLES-SUR-SEINE;4 RUE DES TAUPES;T;1,232181e+02;1
412704;Enedis;2019;E;772930000;MISY-SUR-YONNE;15 RUE NEUVE;R;5,673754e+01;16
412705;Enedis;2019;E;772930000;MISY-SUR-YONNE;4 RUE DE L EGLISE;T;1,491872e+01;1
413023;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;3 RUE DE LA MAISON GARNIER;I;9,183800e+01;1
413024;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;5 PLACE DIDEROT;R;1,944521e+01;14
413025;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;3 AVENUE DE LA LIBERTE;R;2,820238e+01;11
413026;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;13 RUE PAUL CLAUDEL;R;1,966402e+01;10
413027;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;15 PLACE DIDEROT;R;2,349989e+01;15
413028;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;11 RUE PAUL CLAUDEL;R;2,128174e+01;10
413029;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;8 RUE GUY BONIFACE;R;2,515524e+01;15
413030;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;6 RUE GUY BONIFACE;R;4,143116e+01;15
413031;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;2 RUE DES ROSIERS;R;5,280371e+01;20
413032;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;5 RUE DES ROSIERS;R;7,160235e+01;22
413033;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;3 RUE DES ROSIERS;R;5,527350e+01;20
413034;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;11 PLACE DIDEROT;R;2,636779e+01;21
413035;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;4 RUE GUY BONIFACE;R;2,775375e+01;16
413036;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;1 RUE DES ROSIERS;R;5,498641e+01;20
413037;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;1 PLACE DIDEROT;R;2,746673e+01;22
413038;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;5 AVENUE DE LA LIBERTE;R;2,339672e+01;13
