;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;ADRESSE;NOM_COMMUNE;CODE_GRAND_SECTEUR;CONSO;PDL;latitude;longitude;id;score
177039;GRDF;2019;G;772100000;3 RUE DES CROCS;LA GRANDE-PAROISSE;I;5,152907e+02;1;48.385714;2.924772;77210_0117_00003;0.8591990909090909
177040;GRDF;2019;G;772100000;AVE INDUSTRIE;LA GRANDE-PAROISSE;T;1,765393e+03;1;48.389589;2.933874;77210_b130;0.17647249011857707
177041;GRDF;2019;G;772100000;18 RUE DE LA GARENNE;LA GRANDE-PAROISSE;T;6,151079e+02;1;48.38757;2.903967;77210_0200_00018;0.8643581818181818
177527;GRDF;2019;G;772790000;ROUTE DE BRAY;MAROLLES-SUR-SEINE;I;3,632777e+03;1;48.386248;3.045897;77279_0160;0.866750909090909
177528;GRDF;2019;G;772790000;ROUTE DE BRAY;MAROLLES-SUR-SEINE;I;1,200000e-02;1;48.386248;3.045897;77279_0160;0.866750909090909
177529;GRDF;2019;G;772790000;ROUTE DE BRAY;MAROLLES-SUR-SEINE;T;9,067032e+03;1;48.386248;3.045897;77279_0160;0.866750909090909
177530;GRDF;2019;G;772790000;RUE DES TAUPES;MAROLLES-SUR-SEINE;T;1,551597e+02;1;48.379816;3.022056;77279_ict8gm;0.8543809090909091
178118;GRDF;2019;G;772930000;76 RUE HAUTE;MISY-SUR-YONNE;T;2,210533e+02;1;48.361806;3.078413;77293_0200_00076;0.8639345454545454
178351;GRDF;2019;G;773050101;11 PLACE DIDEROT;MONTEREAU-FAULT-YONNE;R;9,304380e+00;15;48.397786;2.95219;77305_0448_00011;0.8693518181818181
178352;GRDF;2019;G;773050101;5 PLACE DIDEROT;MONTEREAU-FAULT-YONNE;R;8,855930e+00;12;48.397786;2.95219;77305_0448_00005;0.8693518181818181
178353;GRDF;2019;G;773050101;13 PLACE DIDEROT;MONTEREAU-FAULT-YONNE;R;1,246458e+01;13;48.397786;2.95219;77305_0448_00013;0.8693518181818181
178354;GRDF;2019;G;773050101;13 RUE PAUL CLAUDEL;MONTEREAU-FAULT-YONNE;R;9,191630e+00;10;48.396844;2.950502;77305_1085_00013;0.87066
178355;GRDF;2019;G;773050101;4 RUE DES ROSIERS;MONTEREAU-FAULT-YONNE;R;2,692827e+02;25;48.394365;2.945908;77305_1391_00004;0.8662018181818182
