;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;ADRESSE;NOM_COMMUNE;CODE_GRAND_SECTEUR;CONSO;PDL
177039;GRDF;2019;G;772100000;3 RUE DES CROCS;LA GRANDE-PAROISSE;I;5,152907e+02;1
177040;GRDF;2019;G;772100000;AVE INDUSTRIE;LA GRANDE-PAROISSE;T;1,765393e+03;1
177041;GRDF;2019;G;772100000;18 RUE DE LA GARENNE;LA GRANDE-PAROISSE;T;6,151079e+02;1
177527;GRDF;2019;G;772790000;ROUTE DE BRAY;MAROLLES-SUR-SEINE;I;3,632777e+03;1
177528;GRDF;2019;G;772790000;ROUTE DE BRAY;MAROLLES-SUR-SEINE;I;1,200000e-02;1
177529;GRDF;2019;G;772790000;ROUTE DE BRAY;MAROLLES-SUR-SEINE;T;9,067032e+03;1
177530;GRDF;2019;G;772790000;RUE DES TAUPES;MAROLLES-SUR-SEINE;T;1,551597e+02;1
178118;GRDF;2019;G;772930000;76 RUE HAUTE;MISY-SUR-YONNE;T;2,210533e+02;1
178351;GRDF;2019;G;773050101;11 PLACE DIDEROT;MONTEREAU-FAULT-YONNE;R;9,304380e+00;15
178352;GRDF;2019;G;773050101;5 PLACE DIDEROT;MONTEREAU-FAULT-YONNE;R;8,855930e+00;12
178353;GRDF;2019;G;773050101;13 PLACE DIDEROT;MONTEREAU-FAULT-YONNE;R;1,246458e+01;13
178354;GRDF;2019;G;773050101;13 RUE PAUL CLAUDEL;MONTEREAU-FAULT-YONNE;R;9,191630e+00;10
178355;GRDF;2019;G;773050101;4 RUE DES ROSIERS;MONTEREAU-FAULT-YONNE;R;2,692827e+02;25
178356;GRDF;2019;G;773050101;3 PLACE DIDEROT;MONTEREAU-FAULT-YONNE;R;9,968560e+00;17
178357;GRDF;2019;G;773050101;3 RUE PAUL CLAUDEL;MONTEREAU-FAULT-YONNE;R;7,826140e+00;10
178358;GRDF;2019;G;773050101;2 RUE DES ROSIERS;MONTEREAU-FAULT-YONNE;R;1,922410e+02;20
178359;GRDF;2019;G;773050101;7 PLACE DIDEROT;MONTEREAU-FAULT-YONNE;R;9,830150e+00;12
178360;GRDF;2019;G;773050101;5 RUE DES ROSIERS;MONTEREAU-FAULT-YONNE;R;2,747582e+02;23
178361;GRDF;2019;G;773050101;3 RUE DES ROSIERS;MONTEREAU-FAULT-YONNE;R;1,865518e+02;20
178362;GRDF;2019;G;773050101;17 PLACE DIDEROT;MONTEREAU-FAULT-YONNE;R;6,659860e+00;14
178363;GRDF;2019;G;773050101;1 PLACE DIDEROT;MONTEREAU-FAULT-YONNE;R;7,907540e+00;13
178364;GRDF;2019;G;773050101;1 RUE DES ROSIERS;MONTEREAU-FAULT-YONNE;R;1,882366e+02;20
178365;GRDF;2019;G;773050101;RUE ROBERTE BOUCHER;MONTEREAU-FAULT-YONNE;T;1,310468e+03;1
178366;GRDF;2019;G;773050101;RUE DE LA MAISON GARNIER;MONTEREAU-FAULT-YONNE;T;2,585882e+02;1
178367;GRDF;2019;G;773050102;18 BOULEVARD DIDEROT;MONTEREAU-FAULT-YONNE;R;8,854872e+01;13
178368;GRDF;2019;G;773050102;2 RUE DESCARTES;MONTEREAU-FAULT-YONNE;R;5,725160e+00;13
178369;GRDF;2019;G;773050102;2 RUE PAUL LANGEVIN;MONTEREAU-FAULT-YONNE;R;9,016250e+00;10
178370;GRDF;2019;G;773050102;4 RUE PAUL LANGEVIN;MONTEREAU-FAULT-YONNE;R;7,795560e+00;11
178371;GRDF;2019;G;773050102;3 AVENUE DE LA LIBERTE;MONTEREAU-FAULT-YONNE;R;8,677446e+01;11
178372;GRDF;2019;G;773050102;6 RUE DESCARTES;MONTEREAU-FAULT-YONNE;R;8,190940e+00;13
178373;GRDF;2019;G;773050102;16 BOULEVARD DIDEROT;MONTEREAU-FAULT-YONNE;R;1,158772e+02;14
178374;GRDF;2019;G;773050102;5 AVENUE DE LA LIBERTE;MONTEREAU-FAULT-YONNE;R;1,017584e+02;13
178375;GRDF;2019;G;773050102;4 RUE DESCARTES;MONTEREAU-FAULT-YONNE;R;1,023832e+01;14
178376;GRDF;2019;G;773050103;2 PLACE DU GENERAL BERTRAND;MONTEREAU-FAULT-YONNE;R;7,287720e+00;11
178377;GRDF;2019;G;773050103;38 SQUARE BEAUMARCHAIS;MONTEREAU-FAULT-YONNE;R;9,085140e+00;15
178378;GRDF;2019;G;773050103;2 RUE RACINE;MONTEREAU-FAULT-YONNE;R;1,505506e+01;18
178379;GRDF;2019;G;773050103;1 AVENUE LAENNEC;MONTEREAU-FAULT-YONNE;R;2,026225e+02;11
178380;GRDF;2019;G;773050103;46 SQUARE BEAUMARCHAIS;MONTEREAU-FAULT-YONNE;R;1,078770e+01;12
178381;GRDF;2019;G;773050103;1 PLACE DU GENERAL DELORT;MONTEREAU-FAULT-YONNE;R;7,639110e+00;11
178382;GRDF;2019;G;773050103;6 PLACE DU GENERAL BERTRAND;MONTEREAU-FAULT-YONNE;R;9,999840e+00;14
178383;GRDF;2019;G;773050103;10 PLACE DU GENERAL BERTRAND;MONTEREAU-FAULT-YONNE;R;5,308270e+00;10
178384;GRDF;2019;G;773050103;8 RUE RACINE;MONTEREAU-FAULT-YONNE;R;1,324879e+01;10
178385;GRDF;2019;G;773050103;8 PLACE DU GENERAL BERTRAND;MONTEREAU-FAULT-YONNE;R;8,275420e+00;10
