id_geo;secteur_activite;result_label;result_type;result_housenumber;result_name;NOM_COMMUNE;ADRESSE;FILIERE;CODE_GRAND_SECTEUR;latitude;longitude;score;consommation_energie_brut;estimation_ges_brut;surface_habitable;PDL_elec;CONSO_elec;PDL_gaz;CONSO_gaz;classe_consommation_energie;classe_estimation_ges
10220_b034;;Ferme des Charmes 10510 Maizières-la-Grande-Paroisse;street;;Ferme des Charmes;;;;;48.4861;3.805026;0.36750000000000005;70467.5823;5380.686899999999;416.73;0.0;0.0;0.0;0.0;D;C
10401_045uhm;Habitation (Maisons individuelles);Les Varennes 10140 Vendeuvre-sur-Barse;street;;Les Varennes;;;;;48.232935;4.457546;0.36;37368.07;7536.530000000001;196.36;0.0;0.0;0.0;0.0;D;E
14663_b113;Habitation (Maisons individuelles);Saint Jacques 14400 Saint-Vigor-le-Grand;locality;;Saint Jacques;;;;;49.28278799999999;-0.67772;0.438;313462.711;47136.6476;1241.3400000000001;0.0;0.0;0.0;0.0;E;E
24182_0035;;Rue de la Batellerie 24130 Le Fleix;street;;Rue de la Batellerie;;;;;44.875433;0.243338;0.54;0.0;0.0;42.0;0.0;0.0;0.0;0.0;A;A
26138_0161;;Escalier Porte Nord 26700 La Garde-Adhémar;street;;Escalier Porte Nord;;;;;44.393643;4.75284;0.2;0.0;0.0;20.0;0.0;0.0;0.0;0.0;A;A
26160_a003;;Zone Commerciale des Chênes 26240 Laveyron;street;;Zone Commerciale des Chênes;;;;;45.196457;4.814013;0.38;108355.5;3524.4;495.0;0.0;0.0;0.0;0.0;D;B
28330_qc0rfr;Habitation (maisons individuelles);Ferme de Villiers 28200 Villemaury;street;;Ferme de Villiers;;;;;48.037435;1.431831;0.53;0.0;0.0;258.0;0.0;0.0;0.0;0.0;A;A
31490_oo19jh;;Résidence de l'Orange Bleue 31790 Saint-Jory;street;;Résidence de l'Orange Bleue;;;;;43.741548;1.373274;0.36;0.0;0.0;616.0;0.0;0.0;0.0;0.0;A;A
35033_lpsy7w;;La Forge 35890 Bourg-des-Comptes;street;;La Forge;;;;;47.939237;-1.739834;0.35;25398.0;1122.0;102.0;0.0;0.0;0.0;0.0;E;C
35223_vns6yo;;Les Forges 35380 Plélan-le-Grand;street;;Les Forges;;;;;47.993971;-2.1374720000000003;0.33;6900.0;1300.0;100.0;0.0;0.0;0.0;0.0;B;C
38429_b101;;Gauche Fange 38650 Saint-Michel-les-Portes;locality;;Gauche Fange;;;;;44.8771;5.612362999999999;0.26;0.0;0.0;34.0;0.0;0.0;0.0;0.0;A;A
41044_z9cpk7;;Varenne 41320 Châtres-sur-Cher;street;;Varenne;;;;;47.32189;1.934049;0.34;31169.0;2201.0;71.0;0.0;0.0;0.0;0.0;F;D
41157_q5vv8n;;Les Varennes 41230 Mur-de-Sologne;street;;Les Varennes;;;;;47.418704999999996;1.6327230000000001;0.4077777777777778;122910.36;28424.91;694.74;0.0;0.0;0.0;0.0;D;E
44062_b220;;Maison Forestiere de Carhe 44130 Le Gâvre;locality;;Maison Forestiere de Carhe;;;;;47.499169;-1.866059;0.41;0.0;0.0;252.96;0.0;0.0;0.0;0.0;A;A
44077_59uh0p_00001;Habitation (Parties privatives d'immeuble col;1 Les Varennes 44440 Joué-sur-Erdre;housenumber;1;Les Varennes;;;;;47.495125;-1.4552200000000002;0.37;7414.4400000000005;1735.1399999999999;66.0;0.0;0.0;0.0;0.0;C;D
44098_zc543e;Autres (théâtres, salles de sport, restaurati;Saint Jacques 44780 Missillac;street;;Saint Jacques;;;;;47.49173;-2.132141;0.35;0.0;0.0;102.09;0.0;0.0;0.0;0.0;A;A
45235_0170_00003;;3 Rue des Forges 45140 Ormes;housenumber;3;Rue des Forges;;;;;47.937427;1.821147;0.74;21900.0;200.0;100.0;0.0;0.0;0.0;0.0;D;A
49081_b597;;Pied Dru (Châtelais) 49500 Segré-en-Anjou Bleu;locality;;Pied Dru (Châtelais);;;;;47.725755;-0.91495;0.61;21054.0;389.76;58.0;0.0;0.0;0.0;0.0;F;B
49244_9qlt8z;Habitation (Maisons individuelles);La Varenne 49410 Mauges-sur-Loire;street;;La Varenne;;;;;47.357978;-0.872697;0.36999999999999994;150258.24;35607.09;766.16;0.0;0.0;0.0;0.0;D;E
53129_b495;Habitation (maisons individuelles);Le Hameau du Pavillon 53410 Launay-Villiers;street;;Le Hameau du Pavillon;;;;;48.135604;-1.004212;0.32;29190.0;1365.0;105.0;0.0;0.0;0.0;0.0;E;C
53130_5245;;Rue de la Tuilerie 53000 Laval;street;;Rue de la Tuilerie;;;;;48.050455;-0.746991;0.24;5018.16;247.07999999999998;87.0;0.0;0.0;0.0;0.0;B;A
55527_0005;;Rue de l'Abreuvoir 55270 Varennes-en-Argonne;street;;Rue de l'Abreuvoir;;;;;49.230214;5.035049;0.51;22106.5;988.0;123.5;0.0;0.0;0.0;0.0;D;B
57132_0730;;Rue de la Tuilerie 57170 Château-Salins;street;;Rue de la Tuilerie;;;;;48.822511;6.505079;0.58;22790.0;1118.0;86.0;0.0;0.0;0.0;0.0;E;C
57620_ppgcwn;Autres (théâtres, salles de sport, restaurati;Zone Commerciale du Sauceu 57255 Sainte-Marie-aux-Chênes;street;;Zone Commerciale du Sauceu;;;;;49.198444;5.996199;0.35333333333333333;558173.5499999999;17532.46;2784.1;0.0;0.0;0.0;0.0;D;B
58011_0220;;Rue Vallee de la Forge 58500 Armes;street;;Rue Vallee de la Forge;;;;;47.457703;3.538479;0.64;0.0;0.0;69.81;0.0;0.0;0.0;0.0;A;A
59273_0125;Habitation (Maisons individuelles);Caserne Varennes 59820 Gravelines;street;;Caserne Varennes;;;;;50.98695899999999;2.125902;0.35562499999999986;206155.49820000003;42521.68089999999;1103.78;0.0;0.0;0.0;0.0;D;E
59512_fpsngh;;Voie Laterale Droite - Bvd G de Gaulle 59100 Roubaix;street;;Voie Laterale Droite - Bvd G de Gaulle;;;;;50.686655;3.173475;0.28;14415.825;3372.95;94.5;0.0;0.0;0.0;0.0;D;E
59512_u30uyj;;Voie Laterale Gauche - Bvd G de Gaulle 59100 Roubaix;street;;Voie Laterale Gauche - Bvd G de Gaulle;;;;;50.685334000000005;3.172906;0.3;0.0;0.0;55.0;0.0;0.0;0.0;0.0;A;A
61483_2abj0z;;La Forge 61140 Bagnoles de l'Orne Normandie;street;;La Forge;;;;;48.600579;-0.423069;0.29;13800.0;600.0;60.0;0.0;0.0;0.0;0.0;E;C
62571_a056;Habitation (Maisons individuelles);Domaine du Lac - All des Cygnes 62155 Merlimont;street;;Domaine du Lac - All des Cygnes;;;;;50.459068;1.588943;0.38;25640.7032;1026.2240000000002;82.76;0.0;0.0;0.0;0.0;E;C
72228_y7d8zg;;La Varenne 72300 Parcé-sur-Sarthe;street;;La Varenne;;;;;47.812393;-0.209817;0.36;0.0;0.0;170.0;0.0;0.0;0.0;0.0;A;A
73151_0820;;Che de Maraville 1 73800 Porte-de-Savoie;street;;Che de Maraville 1;;;;;45.493014;5.993415;0.26;0.0;0.0;44.0;0.0;0.0;0.0;0.0;A;A
77014_0020_00007_b;;7 b Rue des Basses-loges 77210 Avon;housenumber;7 b;Rue des Basses-loges;;;;;48.417538;2.732932;0.85;10850.0;477.4;43.4;0.0;0.0;0.0;0.0;E;C
77014_0060_00027;;27 Rue Bernard Palissy 77210 Avon;housenumber;27;Rue Bernard Palissy;;;;;48.413261;2.719167;0.87;10154.429999999998;547.04;34.19;0.0;0.0;0.0;0.0;E;C
77014_0060_00031_t;;31 t Rue Bernard Palissy 77210 Avon;housenumber;31 t;Rue Bernard Palissy;;;;;48.413346;2.721635;0.53;9100.0;2080.0;65.0;0.0;0.0;0.0;0.0;C;D
77014_0100_00001_bis;;1 bis Avenue des Carrosses 77210 Avon;housenumber;1 bis;Avenue des Carrosses;;;;;48.414057;2.718359;0.53;6522.24;305.73;33.97;0.0;0.0;0.0;0.0;D;B
77014_0110_00015;;15 Rue des Casernes 77210 Avon;housenumber;15;Rue des Casernes;;;;;48.401905;2.719585;0.95;40850.0;9500.0;190.0;0.0;0.0;0.0;0.0;D;E
77014_0140_00003;;3 Rue Charles Meunier 77210 Avon;housenumber;3;Rue Charles Meunier;;;;;48.414061;2.722677;0.95;7652.349999999999;1777.32;49.37;0.0;0.0;0.0;0.0;D;E
77014_0215_00052;;52 Avenue de la Forêt 77210 Avon;housenumber;52;Avenue de la Forêt;;;;;48.411204;2.739258;0.95;4617.0;1064.0;19.0;0.0;0.0;0.0;0.0;E;F
77014_0215_00058;;58 Avenue de la Forêt 77210 Avon;housenumber;58;Avenue de la Forêt;;;;;48.410964;2.7383;0.78;0.0;0.0;71.54;0.0;0.0;0.0;0.0;A;A
77014_0220_00038;;38 Avenue Franklin Roosevelt 77210 Avon;housenumber;38;Avenue Franklin Roosevelt;;;;;48.415241;2.721986;0.7;16776.5;848.25;94.25;0.0;0.0;0.0;0.0;D;B
77014_0220_00077;;77 Avenue Franklin Roosevelt 77210 Avon;housenumber;77;Avenue Franklin Roosevelt;;;;;48.416551;2.723942;0.81;8684.0;364.0;52.0;0.0;0.0;0.0;0.0;D;B
77014_0260_00027;;27 Avenue du Général de Gaulle 77210 Avon;housenumber;27;Avenue du Général de Gaulle;;;;;48.422231;2.732463;0.74;15992.04;2590.26;56.31;0.0;0.0;0.0;0.0;E;E
